GeneSym	EnsembleID	GO_anno
GP1BA	ENSP00000329380	extracellular region part
GGTLC2	ENSP00000413616	extracellular region part
GGTLC3	ENSP00000384516	extracellular region part
TREH	ENSP00000264029	extracellular region part
CEACAM5	ENSP00000221992	extracellular region part
AMBP	ENSP00000265132	extracellular region part
C3	ENSP00000245907	extracellular region part
CFB	ENSP00000388516+ENSP00000416561	extracellular region part
SERPINC1	ENSP00000356671	extracellular region part
IGLV3-21	ENSP00000374843	extracellular region part
IGLC3	ENSP00000374857	extracellular region part
IGLC2	ENSP00000374856	extracellular region part
IGLC1	ENSP00000374855	extracellular region part
IGKV4-1	ENSP00000374778	extracellular region part
IGKV3D-15	ENSP00000403672	extracellular region part
IGKV3-15	ENSP00000374787	extracellular region part
IGKV3-11	ENSP00000420118	extracellular region part
IGKV2-40	ENSP00000374799	extracellular region part
IGKV2-30	ENSP00000418138	extracellular region part
IGKV2-28	ENSP00000419353	extracellular region part
IGKV1-5	ENSP00000420436	extracellular region part
IGKV1-39	ENSP00000419058	extracellular region part
IGKV1-33	ENSP00000420020	extracellular region part
IGKV1-17	ENSP00000418357	extracellular region part
IGKC	ENSP00000374777	extracellular region part
IGH	ENSP00000375018	extracellular region part
F11	ENSP00000264691	extracellular region part
F12	ENSP00000253496	extracellular region part
KLKB1	ENSP00000264690	extracellular region part
RNPEP	ENSP00000295640	extracellular region part
WISP2	ENSP00000190983	extracellular region part
EFR3A	ENSP00000254624	extracellular region part
UBL3	ENSP00000370055	extracellular region part
IGKV1D-16	ENSP00000418200	extracellular region part
IGLV1-51	ENSP00000374825	extracellular region part
IGLV2-14	ENSP00000374847	extracellular region part
IGLV3-19	ENSP00000374844	extracellular region part
INPP5A	ENSP00000357583	extracellular region part
MPP6	ENSP00000222644	extracellular region part
MRAS	ENSP00000289104	extracellular region part
RAB19	ENSP00000275874	extracellular region part
STK10	ENSP00000176763	extracellular region part
RALB	ENSP00000272519	extracellular region part
TBC1D10A	ENSP00000215790	extracellular region part
C4A	ENSP00000372815	extracellular region part
C4B	ENSP00000407942+ENSP00000415941	extracellular region part
ANGPT1	ENSP00000297450	extracellular region part
CXCL12	ENSP00000363548	extracellular region part
MFGE8	ENSP00000268150	extracellular region part
S100A10	ENSP00000357799	extracellular region part
CLDN11	ENSP00000064724	extracellular region part
CLDN2	ENSP00000336571	extracellular region part
ESAM	ENSP00000278927	extracellular region part
CLDN3	ENSP00000378577	extracellular region part
DSC1	ENSP00000257198	extracellular region part
CRB3	ENSP00000349204	extracellular region part
EPCAM	ENSP00000263735	extracellular region part
DSG2	ENSP00000261590	extracellular region part
ITGA4	ENSP00000380227	extracellular region part
ITGAL	ENSP00000349252	extracellular region part
ITGB2	ENSP00000303242	extracellular region part
ITGB7	ENSP00000267082	extracellular region part
ITGB8	ENSP00000222573	extracellular region part
ITGB6	ENSP00000283249	extracellular region part
ITGB4	ENSP00000200181	extracellular region part
SPN	ENSP00000353238	extracellular region part
CYBRD1	ENSP00000319141	extracellular region part
SLC6A14	ENSP00000360967	extracellular region part
SLC6A19	ENSP00000305302	extracellular region part
TMEM27	ENSP00000369699	extracellular region part
SLC22A12	ENSP00000366797	extracellular region part
SLC26A4	ENSP00000265715	extracellular region part
SLC9A3	ENSP00000264938	extracellular region part
SLC22A5	ENSP00000245407	extracellular region part
SLC5A1	ENSP00000266088	extracellular region part
ITLN1	ENSP00000323587	extracellular region part
DPEP1	ENSP00000261615	extracellular region part
PDZK1	ENSP00000342143	extracellular region part
APOM	ENSP00000365081+ENSP00000389591	extracellular region part
LPL	ENSP00000309757	extracellular region part
LSR	ENSP00000354575	extracellular region part
IGHM	ENSP00000418294	extracellular region part
CHL1	ENSP00000256509	extracellular region part
KIRREL	ENSP00000352138	extracellular region part
ALCAM	ENSP00000305988	extracellular region part
ATP6AP2	ENSP00000367697	extracellular region part
IL6ST	ENSP00000338799	extracellular region part
ANTXR1	ENSP00000301945	extracellular region part
ROBO2	ENSP00000417164	extracellular region part
ADAM9	ENSP00000305538	extracellular region part
CD44	ENSP00000278385	extracellular region part
ANXA5	ENSP00000296511	extracellular region part
PVR	ENSP00000402060	extracellular region part
CDH13	ENSP00000268613	extracellular region part
CD59	ENSP00000340210	extracellular region part
CD81	ENSP00000263645	extracellular region part
